	transcript_name	classification_level	full_classification	classification	max_pid	ambiguous	counts
0	k119_1001315_3	genus	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Polaribacter	Polaribacter	392.84999999999997	0	
0	k119_1003865_1	class	Bacteria; Proteobacteria; Alphaproteobacteria; Alphaproteobacteria	Alphaproteobacteria	101.85	0	
0	k119_1014061_3	class	Eukaryota; Stramenopiles; Ochrophyta; Pelagophyceae	Pelagophyceae	72.459	0	
0	k119_1018354_3	class	Eukaryota; Stramenopiles; Ochrophyta; Dictyochophyceae	Dictyochophyceae	63.923	0	
0	k119_102895_3	family	Bacteria; Proteobacteria; Alphaproteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae	Rhodobacteraceae	522.83	1	
0	k119_10360_3	family	Eukaryota; Stramenopiles; Ochrophyta; Pelagophyceae; Pelagomonadales; Pelagomonadaceae	Pelagomonadaceae	511.19	0	
0	k119_1036548_3	class	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	64.60199999999999	1	
0	k119_1037489_2				375.39	1	
0	k119_1039972_1	division	Eukaryota; Amoebozoa; Lobosa	Lobosa	60.14	0	
0	k119_1046127_6	genus	Eukaryota; Stramenopiles; Ochrophyta; Pelagophyceae; Pelagomonadales; Pelagomonadaceae; Pelagomonas	Pelagomonas	726.53	0	
0	k119_1046414_1	order	Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gonyaulacales	Gonyaulacales	131.92	0	
0	k119_1052_5	domain	Eukaryota	Eukaryota	111.55	1	
0	k119_1060054_5	family	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Melosirales; Stephanopyxidaceae	Stephanopyxidaceae	136.77	0	
0	k119_1060170_4	domain	Eukaryota	Eukaryota	244.44	1	
0	k119_1061518_1	division	Eukaryota; Stramenopiles; Ochrophyta	Ochrophyta	223.1	1	
0	k119_1061955_1	family	Eukaryota; Stramenopiles; Ochrophyta; Dictyochophyceae; Florenciellales; Florenciellaceae	Florenciellaceae	74.69	0	
0	k119_1069614_5	class	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	506.34	0	
0	k119_1073912_1	division	Bacteria; FCB group; Bacteroidetes/Chlorobi group	Bacteroidetes/Chlorobi group	87.785	0	
0	k119_1075706_1	family	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Flavobacteriia; Flavobacteriales; Flavobacteriaceae	Flavobacteriaceae	173.63	0	
0	k119_1076506_2	family	Bacteria; Proteobacteria; Alphaproteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae	Rhodobacteraceae	230.85999999999999	0	
0	k119_1077497_1	domain	Eukaryota	Eukaryota	154.23	1	
0	k119_1081784_21				67.22099999999999	1	
0	k119_1083012_1	order	Eukaryota; Stramenopiles; Ochrophyta; Dictyochophyceae; Florenciellales	Florenciellales	77.309	0	
0	k119_1083934_5	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Thalassiosirales	Thalassiosirales	150.35	0	
0	k119_109111_1	order	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Unclassified	Unclassified	289.06	0	
0	k119_1098211_2	family	Bacteria; Proteobacteria; Alphaproteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae	Rhodobacteraceae	387.03	0	
0	k119_1099672_2	family	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae; Prymnesiales; Chrysochromulinaceae	Chrysochromulinaceae	287.12	0	
0	k119_1101233_1	class	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	Prymnesiophyceae	283.24	0	
0	k119_1104067_5	genus	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Paraglaciecola	Paraglaciecola	264.81	0	
0	k119_1106176_23	genus	Bacteria; Proteobacteria; Alphaproteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Tistrella	Tistrella	363.75	0	
0	k119_1106561_3	order	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Thermoanaerobacterales	Thermoanaerobacterales	351.14	0	
0	k119_1112289_2	class	Eukaryota; Alveolata; Dinoflagellata; Dinophyceae	Dinophyceae	103.78999999999999	0	
0	k119_1115201_3	genus	Eukaryota; Stramenopiles; Ochrophyta; Dictyochophyceae; Florenciellales; Florenciellaceae; Florenciella	Florenciella	103.78999999999999	0	
0	k119_1117301_1	family	Bacteria; Proteobacteria; Alphaproteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae	Rhodobacteraceae	288.09	0	
0	k119_1129513_3	class	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	Prymnesiophyceae	311.37	0	
0	k119_1132689_1	species	Eukaryota; Stramenopiles; Ochrophyta; Pelagophyceae; Pelagomonadales; Pelagomonadaceae; Pelagococcus; Pelagococcus subviridis	Pelagococcus subviridis	408.37	0	
0	k119_1154402_1	class	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	261.9	0	
0	k119_1163383_1	class	Eukaryota; Alveolata; Dinoflagellata; Dinophyceae	Dinophyceae	71.004	0	
0	k119_1171364_1	domain	Eukaryota	Eukaryota	123.19	1	
0	k119_1173312_2	species	Eukaryota; Stramenopiles; Ochrophyta; Pelagophyceae; Pelagomonadales; Pelagomonadaceae; Pelagococcus; Pelagococcus subviridis	Pelagococcus subviridis	123.19	0	
0	k119_1179522_1	order	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Oceanospirillales	Oceanospirillales	124.16	0	
0	k119_1182974_19	genus	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Polaribacter	Polaribacter	355.99	0	
0	k119_1192654_2	family	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae	Bacillariaceae	293.90999999999997	0	
0	k119_1198845_3	class	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	Prymnesiophyceae	65.76599999999999	0	
0	k119_120495_1	order	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae; Isochrysidales	Isochrysidales	99.91	0	
0	k119_1206066_3	domain	Eukaryota	Eukaryota	292.94	1	
0	k119_1212646_3	family	Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Peridiniales; Thoracosphaeraceae	Thoracosphaeraceae	90.01599999999999	0	
0	k119_1218207_1	class	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	Prymnesiophyceae	97.0	0	
0	k119_1219123_2	order	Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Peridiniales	Peridiniales	123.19	0	
0	k119_122028_1	class	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	357.93	0	
