	transcript_name	classification_level	full_classification	classification	max_pid	ambiguous	counts
0	k119_1000277_1	class	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	249.29	0	
0	k119_1002615_1	order	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae; Prymnesiales	Prymnesiales	47.821	0	
0	k119_1003636_1	class	Eukaryota; Hacrobia; Cryptophyta; Cryptophyceae	Cryptophyceae	122.22	0	
0	k119_1005233_4	class	Eukaryota; Rhizaria; Cercozoa; Chlorarachniophyceae	Chlorarachniophyceae	106.7	0	
0	k119_1006050_2	domain	Eukaryota	Eukaryota	84.099	1	
0	k119_1006527_4	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Chaetocerotophycidae	Chaetocerotophycidae	56.745	0	
0	k119_1007052_5	order	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Oceanospirillales	Oceanospirillales	876.88	0	
0	k119_1007494_1	domain	Eukaryota	Eukaryota	176.54	1	
0	k119_1009118_3	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales	Bacillariales	90.01599999999999	0	
0	k119_101613_1	domain	Eukaryota	Eukaryota	296.82	1	
0	k119_1016394_1	genus	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Chaetocerotophycidae; Chaetocerotales; Chaetoceros	Chaetoceros	173.63	0	
0	k119_1016636_1	family	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Chaetocerotophycidae; Chaetocerotales	Chaetocerotales	288.09	0	
0	k119_1017072_5	family	Bacteria; Proteobacteria; Alphaproteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae	Rhodobacteraceae	800.25	0	
0	k119_1021063_1	division	Eukaryota; Stramenopiles; Ochrophyta	Ochrophyta	269.65999999999997	0	
0	k119_1022584_1	class	Eukaryota; Alveolata; Dinoflagellata; Dinophyceae	Dinophyceae	98.94	0	
0	k119_1023888_15	class	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria	Gammaproteobacteria	576.18	1	
0	k119_1023888_9	order	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Alteromonadales	Alteromonadales	63.535	0	
0	k119_1025638_2	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales	Bacillariales	211.46	0	
0	k119_1027754_1	family	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Flavobacteriia; Flavobacteriales; Flavobacteriaceae	Flavobacteriaceae	301.67	0	
0	k119_1029116_3	family	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Flavobacteriia; Flavobacteriales; Flavobacteriaceae	Flavobacteriaceae	179.45	0	
0	k119_1029390_1				147.44	1	
0	k119_1030505_1	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales	Bacillariales	166.84	0	
0	k119_1033942_2	division	Eukaryota; Amoebozoa; Conosa	Conosa	86.33	0	
0	k119_1034482_3	family	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae	Bacillariaceae	112.52	0	
0	k119_1038241_2	order	 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Alteromonadales	Alteromonadales	128.04	0	
0	k119_1038315_3	order	Bacteria; Proteobacteria; Alphaproteobacteria; Alphaproteobacteria; Rhodobacterales	Rhodobacterales	203.7	0	
0	k119_1038715_1	class	Eukaryota; Amoebozoa; Lobosa; Lobosa_X	Lobosa_X	80.31599999999999	0	
0	k119_1039096_1	class	Eukaryota; Hacrobia; Haptophyta; Pavlovophyceae	Pavlovophyceae	113.49	0	
0	k119_1040566_1	genus	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Cellvibrionales; Cellvibrionaceae; Simiduia	Simiduia	63.535	0	
0	k119_104545_1	genus	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Alteromonadales; Colwelliaceae; Colwellia	Colwellia	564.54	0	
0	k119_1047865_7	class	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	Prymnesiophyceae	149.38	0	
0	k119_1055360_1	division	Eukaryota; Opisthokonta; Choanoflagellida	Choanoflagellida	99.91	0	
0	k119_1057314_1	order	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Cellvibrionales	Cellvibrionales	832.26	0	
0	k119_1057355_12	supergroup	Bacteria; Proteobacteria	Proteobacteria	396.72999999999996	1	
0	k119_1059665_2	family	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae	Bacillariaceae	318.15999999999997	1	
0	k119_1060870_1	family	Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae	Suessiaceae	57.909	0	
0	k119_1063937_1	order	Bacteria; Proteobacteria; delta/epsilon subdivisions; Deltaproteobacteria; Myxococcales	Myxococcales	333.68	0	
0	k119_1066816_1	division	Eukaryota; Amoebozoa; Lobosa	Lobosa	154.23	0	
0	k119_1067415_11	division	Bacteria; FCB group; Bacteroidetes/Chlorobi group	Bacteroidetes/Chlorobi group	90.79199999999999	0	
0	k119_1068372_1	class	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	Prymnesiophyceae	106.7	1	
0	k119_1072305_1	class	Eukaryota; Stramenopiles; Ochrophyta; Dictyochophyceae	Dictyochophyceae	54.902	0	
0	k119_1072673_2	class	Eukaryota; Alveolata; Dinoflagellata; Dinophyceae	Dinophyceae	118.34	0	
0	k119_1076984_1	species	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia; Pseudo-nitzschia australis	Pseudo-nitzschia australis	48.597	0	
0	k119_1082366_8	genus	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Paraglaciecola	Paraglaciecola	524.77	0	
0	k119_1082654_9	family	Bacteria; Proteobacteria; Alphaproteobacteria; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae	Pelagibacteraceae	429.71	1	
0	k119_1083463_1	family	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Flavobacteriia; Flavobacteriales; Flavobacteriaceae	Flavobacteriaceae	180.42	0	
0	k119_1083463_2	class	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Flavobacteriia	Flavobacteriia	171.69	0	
0	k119_1083578_1	supergroup	Bacteria; Terrabacteria group	Terrabacteria group	195.94	1	
0	k119_1087788_3	division	Eukaryota; Opisthokonta; Choanoflagellida	Choanoflagellida	85.554	0	
0	k119_1091901_1	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Hemiaulales	Hemiaulales	94.866	0	
0	k119_1093731_1	class	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	227.95	1	
0	k119_1094263_1	family	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae; Prymnesiales; Chrysochromulinaceae	Chrysochromulinaceae	339.5	0	
0	k119_1095371_1	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Thalassiosirales	Thalassiosirales	63.14699999999999	0	
0	k119_1095805_9	class	Bacteria; Proteobacteria; Alphaproteobacteria; Alphaproteobacteria	Alphaproteobacteria	278.39	0	
0	k119_1095876_3	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales	Bacillariales	95.642	0	
0	k119_1096070_1	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Chaetocerotophycidae	Chaetocerotophycidae	140.65	0	
0	k119_1096353_1	division	Eukaryota; Hacrobia; Haptophyta	Haptophyta	82.159	0	
0	k119_1103322_1	division	Eukaryota; Amoebozoa; Discosea	Discosea	89.628	0	
0	k119_1103640_3	class	Bacteria; Proteobacteria; Alphaproteobacteria; Alphaproteobacteria	Alphaproteobacteria	144.53	0	
0	k119_1104400_1	class	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	96.03	0	
0	k119_1104603_1	class	Eukaryota; Hacrobia; Cryptophyta; Cryptophyceae	Cryptophyceae	289.06	0	
0	k119_1105704_2	family	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Chaetocerotophycidae; Chaetocerotales	Chaetocerotales	248.32	0	
0	k119_1105836_1	class	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	97.0	0	
0	k119_1106172_6	order	Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Peridiniales	Peridiniales	67.609	0	
0	k119_1106729_2	class	Eukaryota; Hacrobia; Haptophyta; Pavlovophyceae	Pavlovophyceae	116.39999999999999	0	
0	k119_1107503_1	order	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Cellvibrionales	Cellvibrionales	1301.74	1	
0	k119_1108828_1	genus	Eukaryota; Hacrobia; Haptophyta; Pavlovophyceae; Pavlovales; Pavlovaceae; Pavlova	Pavlova	154.23	0	
